name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti 800 AC,0.535714286,60000,0.086783007,4,1,1,0
Maruti Wagon R LXI Minor,0.535714286,135000,0.061987508,4,1,1,0
Hyundai Verna 1.6 SX,0.714285714,600000,0.123976256,1,1,1,0
Datsun RediGO T Option,0.892857143,250000,0.057028408,4,1,1,0
Honda Amaze VX i-DTEC,0.785714286,450000,0.174807029,1,1,1,2
Maruti Alto LX BSIII,0.535714286,140000,0.15497063,4,1,1,0
Hyundai Xcent 1.2 Kappa S,0.857142857,550000,0.030993134,4,1,1,0
Tata Indigo Grand Petrol,0.785714286,240000,0.074385258,4,1,1,2
Hyundai Creta 1.6 VTVT S,0.821428571,850000,0.030993134,4,1,1,0
Maruti Celerio Green VXI,0.892857143,365000,0.096701207,0,1,1,0
Chevrolet Sail 1.2 Base,0.821428571,260000,0.043390884,4,1,1,0
Tata Indigo Grand Petrol,0.785714286,250000,0.123976256,4,1,1,0
Toyota Corolla Altis 1.8 VL CVT,0.928571429,1650000,0.030993134,4,0,0,0
Maruti 800 AC,0.535714286,60000,0.086783007,4,1,1,0
Maruti Wagon R LXI Minor,0.535714286,135000,0.061987508,4,1,1,0
Hyundai Verna 1.6 SX,0.714285714,600000,0.123976256,1,1,1,0
Datsun RediGO T Option,0.892857143,250000,0.057028408,4,1,1,0
Honda Amaze VX i-DTEC,0.785714286,450000,0.174807029,1,1,1,2
Maruti Alto LX BSIII,0.535714286,140000,0.15497063,4,1,1,0
Hyundai Xcent 1.2 Kappa S,0.857142857,550000,0.030993134,4,1,1,0
Tata Indigo Grand Petrol,0.785714286,240000,0.074385258,4,1,1,2
Hyundai Creta 1.6 VTVT S,0.821428571,850000,0.030993134,4,1,1,0
Maruti Celerio Green VXI,0.892857143,365000,0.096701207,0,1,1,0
Chevrolet Sail 1.2 Base,0.821428571,260000,0.043390884,4,1,1,0
Tata Indigo Grand Petrol,0.785714286,250000,0.123976256,4,1,1,0
Toyota Corolla Altis 1.8 VL CVT,0.928571429,1650000,0.030993134,4,0,0,0
Maruti Ciaz VXi Plus,0.821428571,585000,0.029753359,4,0,1,0
Hyundai Venue SX Opt Diesel,0.964285714,1195000,0.006197635,1,0,1,0
Chevrolet Enjoy TCDi LTZ 7 Seater,0.75,390000,0.040911334,1,1,1,2
Jaguar XF 2.2 Litre Luxury,0.785714286,1964999,0.034712459,1,0,0,0
Mercedes-Benz New C-Class 220 CDI AT,0.75,1425000,0.073145483,1,0,0,0
Maruti Vitara Brezza ZDi Plus AMT,0.928571429,975000,0.005577748,1,0,0,0
Audi Q5 2.0 TDI,0.678571429,1190000,0.218075175,1,0,0,0
Honda City V MT,0.928571429,930000,0.017975497,4,0,1,0
Tata Tigor 1.2 Revotron XT,0.928571429,525000,0.018595385,4,1,1,0
Audi A6 2.0 TDI  Design Edition,0.75,1735000,0.061987508,1,0,0,0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,0.714285714,1375000,0.041903154,1,0,0,2
Skoda Superb Ambition 2.0 TDI CR AT,0.678571429,450000,0.161665414,1,0,0,2
Toyota Corolla Altis G AT,0.857142857,900000,0.061987508,4,1,0,0
Toyota Innova 2.5 G (Diesel) 7 Seater,0.821428571,1300000,0.099180757,1,1,1,0
Jeep Compass 1.4 Sport Plus BSIV,0.964285714,1400000,0.01239651,4,1,1,0
Mercedes-Benz E-Class E 200 CGI Elegance,0.642857143,850000,0.14753198,4,0,0,0
Hyundai i10 Magna 1.1L,0.785714286,229999,0.074385258,4,1,1,1
BMW 3 Series 320d Sport Line,0.75,1550000,0.093973702,1,0,0,2
Audi Q7 35 TDI Quattro Premium,0.607142857,1250000,0.096701207,1,0,0,4
Hyundai Elantra CRDi S,0.714285714,625000,0.049589758,1,1,1,0
Mahindra Scorpio 1.99 S10,0.785714286,1050000,0.061987508,1,1,1,0
